version,match_id,model_pW1,model_pD,model_pW2,market_pW1,market_pD,market_pW2,captured_at
v1,B-md1-Qatar-vs-Switzerland,0.072656,0.171554,0.75579,0.05894,0.123824,0.817236,2026-06-15T18:17:45+00:00
v2,B-md1-Qatar-vs-Switzerland,0.072656,0.171554,0.75579,0.05894,0.123824,0.817236,2026-06-15T18:17:45+00:00
v1,C-md1-Brazil-vs-Morocco,0.517668,0.242889,0.239443,0.58209,0.253731,0.164179,2026-06-15T18:17:45+00:00
v2,C-md1-Brazil-vs-Morocco,0.517668,0.242889,0.239443,0.58209,0.253731,0.164179,2026-06-15T18:17:45+00:00
v1,C-md1-Haiti-vs-Scotland,0.240695,0.248927,0.510378,0.167513,0.208122,0.624365,2026-06-15T18:17:45+00:00
v2,C-md1-Haiti-vs-Scotland,0.240695,0.248927,0.510378,0.167513,0.208122,0.624365,2026-06-15T18:17:45+00:00
v1,D-md1-Australia-vs-Turkey,0.348053,0.259383,0.392564,0.175879,0.256281,0.567839,2026-06-15T18:17:45+00:00
v2,D-md1-Australia-vs-Turkey,0.348053,0.259383,0.392564,0.175879,0.256281,0.567839,2026-06-15T18:17:45+00:00
v1,E-md1-Germany-vs-Curaçao,0.847364,0.116069,0.036567,0.941264,0.035341,0.023395,2026-06-15T18:17:45+00:00
v2,E-md1-Germany-vs-Curaçao,0.847364,0.116069,0.036567,0.941264,0.035341,0.023395,2026-06-15T18:17:45+00:00
v1,E-md1-Ivory_Coast-vs-Ecuador,0.196824,0.238206,0.56497,0.276382,0.336683,0.386935,2026-06-15T18:17:45+00:00
v2,E-md1-Ivory_Coast-vs-Ecuador,0.196824,0.238206,0.56497,0.276382,0.336683,0.386935,2026-06-15T18:17:45+00:00
v1,F-md1-Netherlands-vs-Japan,0.427124,0.256073,0.316803,0.452736,0.283582,0.263682,2026-06-15T18:17:45+00:00
v2,F-md1-Netherlands-vs-Japan,0.427124,0.256073,0.316803,0.452736,0.283582,0.263682,2026-06-15T18:17:45+00:00
v1,F-md1-Sweden-vs-Tunisia,0.452503,0.253338,0.294159,0.507538,0.286432,0.20603,2026-06-15T18:17:45+00:00
v2,F-md1-Sweden-vs-Tunisia,0.452503,0.253338,0.294159,0.507538,0.286432,0.20603,2026-06-15T18:17:45+00:00
v1,G-md1-Belgium-vs-Egypt,0.619873,0.217019,0.163108,0.619512,0.229268,0.15122,2026-06-15T18:17:45+00:00
v2,G-md1-Belgium-vs-Egypt,0.619873,0.217019,0.163108,0.619512,0.229268,0.15122,2026-06-15T18:17:45+00:00
v1,H-md1-Spain-vs-Cape_Verde,0.897495,0.083937,0.018569,0.925,0.0525,0.0225,2026-06-15T18:17:45+00:00
v2,H-md1-Spain-vs-Cape_Verde,0.897495,0.083937,0.018569,0.925,0.0525,0.0225,2026-06-15T18:17:45+00:00
